"","m_list1","m_list2","m_list3","active"
"78","@chinaemslovenia","ChineseEmbassySlovenia","Diplomatic/Government",TRUE
"79","@chinaeumission","Mission of China","Diplomatic/Government",TRUE
"80","@chinaindenmark","Kina i Danmark","Diplomatic/Government",TRUE
"81","@chinainlebanon","Wang Kejian","Diplomatic/Government",TRUE
"82","@chinairaq","China Embassy in Iraq","Diplomatic/Government",TRUE
"83","@chinamission2un","Chinese Mission to UN","Diplomatic/Government",TRUE
"84","@chinamissiongva","China Mission Geneva","Diplomatic/Government",TRUE
"85","@chinamissionvie","Permanent Mission of China in Vienna","Diplomatic/Government",TRUE
"86","@chinascio","China SCIO","Diplomatic/Government",TRUE
"87","@chinaspox_india","Ji Rong","Diplomatic/Government",TRUE
"88","@chine_au_mali","中国驻马里大使馆 Ambassade de Chine au Mali","Diplomatic/Government",TRUE
"89","@chine_guinee","中国驻几内亚大使馆 Ambassade de Chine en Guinée","Diplomatic/Government",TRUE
"90","@chineambdjibout","Ambassade de Chine à Djibouti","Diplomatic/Government",TRUE
"91","@chineseemb_png","Chinese Embassy in PNG","Diplomatic/Government",TRUE
"92","@chineseemb_uga","Chinese Embassy in Uganda","Diplomatic/Government",TRUE
"93","@chineseembassy1","chineseembassybangkok","Diplomatic/Government",TRUE
"94","@chineseembassyj","Embassy of the People”s Republic of China-Jordan","Diplomatic/Government",TRUE
"95","@chineseembincz","Chinese Embassy in CZ","Diplomatic/Government",TRUE
"96","@chineseembinhu","Chinese Embassy in Hungary","Diplomatic/Government",TRUE
"97","@chineseembinrus","Chinese Embassy in Russia 中国驻俄罗斯大使馆","Diplomatic/Government",TRUE
"98","@chineseembinuk","Chinese Embassy in UK","Diplomatic/Government",TRUE
"99","@chineseembinus","Chinese Embassy in US","Diplomatic/Government",TRUE
"100","@chineseembkenya","Chinese Embassy in Kenya","Diplomatic/Government",TRUE
"101","@chineseembtoyem","Chinese Embassy to Yemen","Diplomatic/Government",TRUE
"102","@chineseembtz","Chinese Embassy in Tanzania","Diplomatic/Government",TRUE
"103","@chineseliberia","Chinese Embassy in Liberia","Diplomatic/Government",TRUE
"104","@chinesesomalia","Chinese Embassy in Somalia","Diplomatic/Government",TRUE
"105","@chinesezimbabwe","Chinese Embassy in Zimbabwe","Diplomatic/Government",TRUE
"106","@chn_egy","Spokesperson of the Chinese Embassy in Egypt","Diplomatic/Government",TRUE
"107","@chn_un_ny","Spokesperson of Chinese Mission to UN","Diplomatic/Government",TRUE
"108","@chnconsul_osaka","中華人民共和国駐大阪総領事館","Diplomatic/Government",TRUE
"109","@chnconsulatefuk","中華人民共和国駐福岡総領事館","Diplomatic/Government",TRUE
"110","@chnconsulatejhb","Chinese Consulate General in Johannesburg","Diplomatic/Government",TRUE
"111","@chnconsulatengo","中華人民共和国駐名古屋総領事館","Diplomatic/Government",TRUE
"112","@chnconsulatengt","中華人民共和国駐新潟総領事館の新ちゃん","Diplomatic/Government",TRUE
"113","@chnembassy_jp","中華人民共和国駐日本国大使館","Diplomatic/Government",TRUE
"114","@chnmission","Liu Yuyin 刘玉印","Diplomatic/Government",TRUE
"115","@cidcaofficial","CIDCA","Diplomatic/Government",TRUE
"116","@ciieonline","China International Import Expo","Diplomatic/Government",TRUE
"117","@consulat_de","Consulat général de Chine à Strasbourg","Diplomatic/Government",TRUE
"118","@consulatesan","Chinese Consulate General in San Francisco","Diplomatic/Government",TRUE
"119","@consulchinabcn","Consulado General de China en Barcelona 中国驻巴塞罗那总领馆","Diplomatic/Government",TRUE
"120","@consulchinarj","Consulado-Geral da China no Rio de Janeiro","Diplomatic/Government",TRUE
"121","@dong_zhihua","Dong Zhihua","Diplomatic/Government",TRUE
"122","@dr_zhaoqinghua","Generalkonsul Zhao Qinghua","Diplomatic/Government",TRUE
"123","@drzhaoyanbo","Zhao Yanbo","Diplomatic/Government",TRUE
